Name,Arctic,Buckteeth,Domestic,Fierce,Flippers,Flys,Forest,Furry,Hands,Hibernate,Hops,Lean,Longleg,Longneck,Mountains,Muscle,Nocturnal,Quadrapedal,Size,Smart,Smelly,Solitary,Speed,Spots,Strong,Swims,Tail,Tusks,Vegetation,Walks
Persian Cat,0,0,72.88,13.98,0,0,8.98,90.19,0,1.56,6.25,14.54,8.89,8.75,6.25,12.5,10.55,66.15,6.25,38.62,7.86,36.6,26.98,6.25,12.58,6.25,66.8,0,6.25,65.69
Horse,0,27.6,59.33,15.51,0,0,10.76,40.58,0,1.11,0,47.96,70.57,44.94,16.22,51.14,1.11,70.35,71.5,37.28,33.07,16.78,81.68,15.8,69.13,0,70.42,0,51.05,55.58
German Shepherd,6.25,0,68.55,57.44,0,0,17.89,66.05,0,0,0,38.05,23.91,0,11.25,50.69,7.5,82.93,54.88,57.53,23.41,35.11,57.02,11.59,62.33,0,72.3,0,7.5,76.91
Blue Whale,32.75,0,5,7.5,64.87,0,0,0,0,0,0,11.88,0,0,0,25.37,6.25,0,86.46,39.06,13.75,25.99,21.42,23.75,55.26,71.82,26.42,0,0,0
Skunk,0,18.12,8.89,17.29,0,0,47.85,80,8.33,33.68,0,16.88,1.39,2.78,5.62,3.75,35.62,70.83,0,12.5,100,47.85,30.21,1.25,3.12,8.33,83.33,0,44.38,64.86
Tiger,1.25,21.11,5.64,83.81,0,0,21.32,66.23,0,14.24,0,48.87,19.2,8.33,14.88,82.34,38.24,77.12,78.36,36.59,28.52,39.36,76.21,6.08,84.04,5,66.65,0,4.63,73.92
Elephant,0,11.25,6.88,20.63,0,3.75,7.58,1.14,0,0,0,1.25,39.14,1.25,0,25.56,7.5,70.61,85.48,22.81,49.67,6.25,3.75,1.25,67.45,0,51.97,70.47,55.85,66.19
Gorilla,1.25,11.98,18.93,46.23,0,0,33.19,79.21,61.5,0,7.5,12.68,33.57,3.75,17.14,65.79,8.75,37.17,70.48,56.19,42.6,7.5,37.06,0,73.42,2.5,10,0,53.31,63.43
Seal,74.38,7.5,47.03,13.75,78.12,0,0,20.45,2.5,0,8.75,10.94,0,6.25,0,10.45,2.5,11.25,30.91,44.49,6.25,6.25,29.32,23.12,23.18,81.51,41.14,11.25,7.81,4.06
Chimpanzee,1.25,11.84,36.62,23.1,0,0,63.58,81.98,77.77,0,10.31,45.75,65.34,2.5,27.35,41.83,9.81,44.53,28.29,84.36,49.83,8.75,56.94,0,41.19,3.75,54.26,0,67.15,59.72
Hamster,0,62.08,71.44,8.75,0,0,2.5,86.82,7.5,26.88,23.61,5.56,0,0,0,0,34.58,72.49,0,18.37,26.23,35,39.33,8.5,3.89,0,26.34,0,60.33,62.24
Squirrel,3.75,49.44,14.76,7.92,0,13.02,66.53,78.78,17.19,51.26,23.02,19.58,1.39,3.89,10,15,10,42.67,2.64,18.48,1.95,22.58,54.93,2.5,14.17,3.75,84.69,0,64.72,35.21
Rabbit,12.38,60.52,60.52,4.17,0,0,28.32,80.89,0,19.68,87.59,5.05,4.51,2.78,4,13.96,18.61,49.13,2.27,11.47,12.71,18.89,63.26,9.26,4.79,1.39,61.1,0,75.87,19.48
Bat,0,8.12,5.56,32.57,0,95.9,58.01,38.75,5.28,45.3,2.5,45.69,10.96,5.42,31.25,35.73,98.86,6.48,1.25,32.3,30.33,19.97,80.96,1.25,7.5,0,15.11,0,36.46,2.5
Giraffe,0,18.32,3.33,1.11,0,4.44,11.11,17.17,0,0,2.02,68.82,84.01,96.71,0,21.52,0,77.12,78.23,16.95,22.09,9.57,31.86,77.08,31.43,0,44.8,0,69.61,64.07
Rat,0,56.08,16.69,59.44,0,0,36.71,48.79,3.34,31.16,8.12,28.76,0,0,7.5,20.24,67.81,73.62,1.88,24.99,48.31,40.87,57.14,1.25,18.19,0,73.69,0,11,70.75
Otter,35.56,28.75,7.78,6.25,47.36,0,25.83,46.94,10.28,10.14,0,30.14,0,1.25,0,11.39,12.5,35.56,11.25,27.22,12.64,30.56,40.97,0,11.39,85,43.61,0,7.78,5
Pig,3.75,8.44,48.95,25.48,0,0,2.5,17.05,0,0,0,0,1.25,1.25,6.25,14.4,2.5,68,48.17,23.04,51.17,4.19,16.24,21.23,27.44,2.5,40.56,5,48.85,52.77
Lion,0,0,3.75,70.47,0,3.75,22.5,67.03,0,0,6.25,22.81,10.62,0,21.25,50.94,9.77,65.55,71.88,25.7,30,11.88,65.47,0,77.19,0.25,62.22,0,8.75,54.06
Walrus,81.45,28.12,18.75,20,70.92,0,0,18.99,1.25,6.88,5,9.11,0,4.38,0,16.55,2.5,11.88,76.46,23.96,28.12,11.19,24.76,13.12,49.94,76.85,20.76,90.74,9.62,6.25