Animal,imageLink,Water,Walks,Tusks,Tunnels,Tree,Toughskin,Timid,Tail,Swims,Stripes,Strength,Strainteeth,Stalker,Spots,Speed,Solitary,Smelly,Smart,Skimmer,Size,Scavenger,Quadrupedal,Plankton,Plains,Paws,Patches,Pads,Oldworld,Ocean,Nocturnal,Newworld,Nestspot,Muscle,Mountains,Meatteeth,Longneck,Longleg,Lean,Jungle,Insects,Inactive,Hunter,Horns,Hops,Hooves,Hibernate,Hands,Hairless,Group,Ground,Grazer,Furry,Forest,Forager,Flys,Flippers,Fish,Fierce,Fields,Domestic,Desert,Coastal,Claws,Chewteeth,Cave,Bush,Bulbous,Buckteeth,Bipedal,Arctic,Agility,Active
Killer Whale,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/killerWhale.png,79.49,0,0,0,0,57.04,9.77,41.67,91.45,0,63.35,30.22,15,32.69,57.37,15.77,7.5,52.03,20.36,90.85,6.61,0,32.86,0,0,68.49,0,12.5,88.28,8.75,16.25,13.41,10.45,0,45.15,1.25,0,22.68,0,0,13.23,57.87,0,0,0,0,0,70.62,24.94,0,0,1.25,0,10.89,1.25,79.94,66.75,38.27,0,15.42,0,30.11,0,12.5,0,0,61.87,5,0,24.51,27.8,27.29
Leopard,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/leopard.png,2.5,62.77,0,0,25.37,12.18,0,48.22,5.28,1.25,55.18,8.75,79.76,74.97,85.26,33.84,11.02,37.16,0,54.64,6.25,78,0,32.91,69.9,26.11,19.45,62.61,0,25.81,24.24,22.08,62.22,26.03,75.91,6.81,40.39,73.48,68.99,1.25,7.5,69.02,0,0,0,14.76,0,10.97,11.25,55.17,9.87,43.27,18.05,30.33,0,0,26.19,70.3,15.08,6.25,0,0,68.8,14.58,10.56,38.05,0,0,0,2.5,75.1,71.82
Lion,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/lion.png,0,54.06,0,0,2.5,16.25,4.38,62.22,0.25,0,77.19,3.75,77.34,0,65.47,11.88,30,25.7,0,71.88,16.25,65.55,0,20,67.66,0,27.81,66.02,0,9.77,10.94,43.12,50.94,21.25,75.94,0,10.62,22.81,63.05,0.62,36.88,76.56,0,6.25,0,0,0,5,56.17,57.81,7.5,67.03,22.5,30.94,3.75,0,5,70.47,18.75,3.75,22.5,3.75,57.5,19.69,13.75,53.05,23.12,0,2.5,0,43.52,33.44
Mole,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/mole.png,0,49.03,0,77.61,10,8.96,29.47,20,0,0,1.25,1.88,0,0,20.9,55.31,10.42,16.67,0,1.25,11.49,51.05,0,27.58,43.17,5.62,19.36,24.72,0,25.14,44.68,29.79,16.41,0.62,10,0,0,20.91,0,31.67,20.67,0.62,0,0,0,31.69,7.92,14.88,0,51.3,5.62,45.81,43.67,39.28,0,0,0,16.88,57.67,13.75,0,1.39,28.73,27.71,9.72,9.38,42.27,27.16,1.39,0,26.7,48.83
Moose,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/moose.png,1.25,66.55,0,0,0,28.57,40.42,29.59,2.5,0,68.53,0,11.25,12.5,22.74,31.94,27.06,19.11,0,87.73,2.5,82.61,0,49.44,0,12.5,2.5,34.31,0,3.75,82.33,10.14,35.5,67.19,12.08,31.52,44.24,11.25,3.75,0,37.86,18.06,93.02,0,73.81,0,0,10,30.34,67.44,77.33,36.85,58.47,46.46,0,0,7.5,8.75,46.04,5.14,1.25,3.75,0,53.48,2.5,5,36.63,17.5,0,26.58,6.25,18.06
Mouse,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/mouse.png,0,54.44,0,27.47,0,1.25,50,70.04,0,0,0,5.62,0.62,6.25,55.15,6.88,24.06,12.42,0,0,22.97,45.35,0,22.58,35.15,12.19,0,53.33,0,29.31,58.23,23.26,0.62,4.06,8.75,0,0,7.5,0,8.4,3.12,2.5,0,0,0,26.07,1.56,11.56,23.96,62.74,21.25,51.94,32.09,15.38,0,0,0,1.25,54.52,27.64,14.69,0,20.23,26.98,0,14.69,10,44.58,2.5,0,30.66,44.45
Otter,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/otter.png,78.75,5,0,4.51,0,20,33.47,43.61,85,0,11.39,17.5,3.75,0,40.97,30.56,12.64,27.22,0,11.25,0,35.56,6.25,0,24.17,0,10.42,30.83,35,12.5,54.72,23.19,11.39,0,22.5,1.25,0,30.14,0,4.03,2.5,32.92,0,0,0,10.14,10.28,7.5,17.92,10,0,46.94,25.83,1.25,0,47.36,83.33,6.25,0,7.78,0,35.97,28.75,28.68,0,0,23.06,28.75,1.25,35.56,32.92,41.11
Ox,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/ox.png,2.5,78.9,1.25,0,0,52.54,33.65,58.05,1.25,0,88.78,0,0,15.62,5.28,32.39,49.28,14.68,0,73.47,2.5,77.18,0,40.95,5,19.03,3.75,54.7,0,2.5,50.38,13.12,30.51,10,8.75,2.5,12.78,3.75,5,2.5,51.44,0,63.7,0,69.01,0,0,33.3,16.79,70.02,66.23,30.02,6.25,10.36,16.25,0,1.25,20.16,45.51,53.33,12.5,18,0,45.18,1.25,21.75,52.36,20.68,0,0,3.75,17.61
Persian Cat,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/persianCat.png,1.25,65.69,0,0,2.64,6.25,43.69,66.8,6.25,6.25,12.58,0,9.03,6.25,26.98,36.6,7.86,38.62,0,6.25,5.08,66.15,0,10.55,68.81,17.93,42.44,54.31,0,10.55,50.66,9.17,12.5,6.25,41.26,8.75,8.89,14.54,6.25,5,49.04,10.98,0,6.25,0,1.56,0,0,6.25,47.5,6.25,90.19,8.98,6.25,0,0,39.96,13.98,9.77,72.88,6.25,1.39,55.68,30.69,0,6.25,32.92,0,7.5,0,44.5,13.89
Pig,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/pig.png,3.87,52.77,5,0,0,51.37,27.85,40.56,2.5,0,27.44,0,0,21.23,16.24,4.19,51.17,23.04,0,48.17,9.11,68,0,13.12,7.5,41.47,7.5,41.02,0,2.5,53.27,17.88,14.4,6.25,5.62,1.25,1.25,0,2.5,4.51,38.78,1.79,5,0,50.16,0,0,43.7,28.07,52.33,9.42,17.05,2.5,31.63,0,0,0,25.48,32.03,48.95,1.25,10,0,32.98,3.75,8.12,54.21,8.44,1.25,3.75,3.52,15.53
Polar Bear,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/polarBear.png,45.9,73.54,0,0,0,22.29,3.75,10,39.17,0,77.08,10,30.38,0,38.68,48.75,22.5,16.25,0,85.49,21.25,66.04,0,0,66.04,0,26.25,31.25,35,10,44.38,19.38,16.25,1.25,62.15,5,3.12,0,0,0,29.38,56.32,0,3.75,0,58.12,5,0,13.75,53.4,0,81.94,0,34.38,0,0,62.29,70.35,0,5,0,48.96,59.03,32.5,17.5,0,53.75,6.25,25,96.88,24.38,36.25
Rabbit,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/rabbit.png,0,19.48,0,16.89,0,7.95,61.21,61.1,1.39,0,4.79,0,0,9.26,63.26,18.89,12.71,11.47,0,2.27,0,49.13,0,23.26,56.45,26.04,15.21,45.71,0,18.61,62.1,38.89,13.96,4,0,2.78,4.51,5.05,0.25,0,22.73,0,0,87.59,0,19.68,0,0,38.16,65.18,48.98,80.89,28.32,34.33,0,0,0,4.17,58.09,60.52,3.75,11.46,17.59,45.97,7.27,21.11,47.73,60.52,3.12,12.38,24.56,47.86
Raccoon,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/raccoon.png,2.08,57.43,0,0,33.41,3.41,2.27,69.78,0.62,53.15,10.62,1.04,8.98,22.87,38.21,35.95,19.97,48.68,0,7.5,34.74,66.87,0,7.27,61.36,29.58,22.08,24.7,0,70.56,60.2,28.26,13.11,25.86,26.25,0,0,0,0,12.33,4.17,10.89,0,1.14,0,29.83,12.27,0,13.01,49.09,3.41,67.37,63.95,53.74,0,0,31.25,34.46,21.23,5,0,13.12,27.28,22.71,7.27,0,16.46,15.59,3.41,0,36.09,70.54
Rat,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/rat.png,0,70.75,0,26.44,1.25,7.36,11.81,73.69,0,0,18.19,0,3.4,1.25,57.14,40.87,48.31,24.99,0,1.88,60.85,73.62,0,29.65,49.02,10.62,10.78,70.36,0,67.81,72.65,23.12,20.24,7.5,42.87,0,0,28.76,1.39,25.8,11.95,24,0,8.12,0,31.16,3.34,15.39,18.94,84.48,0,48.79,36.71,52.36,0,0,1.25,59.44,55.09,16.69,8.89,11.67,36.73,19.31,20.47,9.03,21.3,56.08,2.27,0,28.54,56.88
Rhinoceros,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/rhinoceros.png,13.54,52.54,24.58,0,0,76.17,13.33,17.05,0,0,55.38,3.12,0,1.39,10.21,25.17,22.52,10.59,0,82,0,58.54,0,18.54,0,2.95,17.99,72.1,0,0,2.64,3.75,12.04,0,0,6.94,9.9,0,27.78,9.72,32.6,0,71.89,0,29.65,0,0,54.46,22.85,63.6,23.06,1.14,0,9.66,0,0,1.04,42.5,0,2.5,0,0,3.75,19.44,0,39.55,48.9,0,1.39,0,4.91,2.64
Seal,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/seal.png,78.92,4.06,11.25,0,0,49.97,35.31,41.14,81.51,0,23.18,8.3,6.25,23.12,29.32,6.25,6.25,44.49,6.25,30.91,0,11.25,12.5,0,5,17.19,2.5,30.31,82.53,2.5,32.24,18.18,10.45,0,10.31,6.25,0,10.94,0,1.25,20.8,27.88,0,8.75,0,0,2.5,44.75,49.84,19.43,0,20.45,0,7.81,0,78.12,70,13.75,0,47.03,0,59.15,3.75,11.25,5,0,20.23,7.5,1.56,74.38,49.81,28.98
Sheep,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/sheep.png,0,73.69,0,0,0,9.55,54.38,11.65,0,0,10,0,0,0,4.66,0,23.75,10.62,0,16.53,1.25,80.14,0,42.81,0,0,3.75,57.33,0,0,57.78,7.5,8.41,49.8,1.25,0,10.8,2.5,2.5,0,36.22,0,6.53,1.25,36.62,0,0,3.12,73.69,66.62,68.35,61.16,1.25,2.5,1.25,0,0,0,65.17,30.68,1.56,5,0,34.55,0,17.19,35.62,15,0,0,7.05,3.75
Siamese Cat,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/siameseCat.png,2.22,67.39,0,0,10,5,28.82,59.15,2.22,0,8.96,9.44,51.61,6.94,43.24,47.54,13.61,52.9,0,2.22,18.37,80.44,0,7.78,64.22,35.83,31.44,58.2,0,29.16,64.25,17.22,35.03,5.56,39.91,11.11,26.27,61.86,2.22,3.89,32.01,34.6,0,0,0,5.62,0,10,3.33,60.42,0,72.76,4.44,19.05,0,0,30.39,35.98,10,83.55,1.11,7.78,59.78,25.56,1.11,5.56,4.44,0,10,1.11,64.05,37.63
Skunk,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/skunk.png,4.03,64.86,0,2.5,3.26,8.12,46.11,83.33,8.33,85.76,3.12,5,0,1.25,30.21,47.85,100,12.5,6.94,0,5.56,70.83,0,11.6,59.79,6.46,27.71,21.88,0,35.62,67.85,18.19,3.75,5.62,8.75,2.78,1.39,16.88,0,6.46,19.93,4.17,0,0,0,33.68,8.33,0.62,2.5,73.82,0,80,47.85,33.75,0,0,6.94,17.29,51.46,8.89,0,0,17.57,20,10,8.33,28.06,18.12,5,0,15.42,22.5
Spider Monkey,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/spiderMonkey.png,0,37.85,0,0,76.01,7.81,23.68,72.26,0,3.12,24.17,3.12,2.08,0,58.12,9.38,16.98,55,0,20,2.5,32.4,0,1.25,27.5,0,18.75,45.83,0,5,21.01,31.67,24.06,3.75,3.12,0,55.69,44.93,61.88,12.57,7.5,5,0,0,0,0,67.64,5,39.06,20.62,21.15,64.93,33.26,35.38,0,0,0.62,17.71,3.75,12.78,0,0,0,29.48,1.25,8.75,0,0,32.81,0,88.33,74.9
Squirrel,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/squirrel.png,1.25,35.21,0,8.06,70.99,14.62,38.16,84.69,3.75,12.5,14.17,0,0,2.5,54.93,22.58,1.95,18.48,0,2.64,0,42.67,0,10,43.19,9.79,23.12,38.65,0,10,67.85,21.56,15,10,0,3.89,1.39,19.58,6.25,3.75,2.5,0,0,23.02,0,51.26,17.19,0,9.17,28.68,2.5,78.78,66.53,77.01,13.02,0,3.75,7.92,19.9,14.76,0,7.5,29.19,37.53,1.25,10,0,49.44,36.04,3.75,60.26,62.01
Tiger,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/tiger.png,4.06,73.92,0,0,6.39,16.01,3.75,66.65,5,89.3,84.04,0,87.22,6.08,76.21,39.36,28.52,36.59,0,78.36,2.75,77.12,0,25.42,60.83,8.26,33.28,83.28,0,38.24,13.12,24.34,82.34,14.88,85.88,8.33,19.2,48.87,75.79,1.25,10.62,84.93,0,0,0,14.24,0,2.64,23.96,76.24,0,66.23,21.32,4.38,0,0,13.61,83.81,2.5,5.64,1.25,0,75.05,31.74,20.14,47.83,14.09,21.11,0,1.25,68.97,59.45
Walrus,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/walrus.png,62.3,6.25,90.74,0,0,62.06,29.43,20.76,76.85,0,49.94,24.74,10,13.12,24.76,11.19,28.12,23.96,0,76.46,11.88,11.88,0,0,6.88,11.61,2.5,16.88,74.18,2.5,38.06,33.77,16.55,0,31.88,4.38,0,9.11,0,2.5,52.14,20.36,0,5,0,6.88,1.25,45.94,60.41,12.5,0.25,18.99,0,8.12,0,70.92,76.63,20,0,18.75,0,38.78,5,33.75,0,0,82.08,28.12,7.19,81.45,14.68,8.78
Weasel,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/weasel.png,5.42,51.87,0,20.83,12.5,5,3.75,30.55,14.93,2.5,8.89,0,19.84,8.75,61.5,26.26,22.39,36.56,0,1.25,11.43,57.65,0,16.44,44.21,16.61,10.42,23.61,0,28.32,36.01,10.14,22.11,9.82,36.87,11.25,6.25,54.05,1.25,3.75,1.25,41.69,0,7.5,0,3.57,0,1.25,13.06,44.9,7.5,45.41,31.66,28.79,0,0,9.58,59.37,45.63,3.75,6.25,6.39,39.14,21.72,10,16.25,0,6.94,3.75,0,47.2,52.09
Wolf,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/wolf.png,0,32.95,0,1.56,0,5.83,0,62.59,0,0,61.63,0,73.45,0,63.13,41.37,4.17,61.48,0,40.21,33.4,80.84,0,29.04,59.95,19.92,23.96,52.78,0,38.82,59.47,18.4,63.39,23.47,58.82,8.14,1.56,41.55,10.76,0,0,71.47,5.92,0,0,4.17,0,0,46.81,50.94,0,67.2,34.25,22.97,0,0,2.78,75.75,16.9,5,0,11.67,25.69,35.78,30.49,9.5,5.21,0,0,36.11,64.18,77.68
Zebra,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/zebra.png,0,77.61,0,0,0,20.8,53.25,61.43,0,98.86,29.85,6.25,0,0,70.85,1.25,9.55,22.63,0,48.82,0,89,0,58.91,0,0,0,90.92,0,0,5.42,19.09,38.76,10,0,21.88,39.02,38.74,10,0,20,4.17,0,4.17,76.45,0,0,7.69,80.6,82.75,78.67,36.4,8.75,32.08,0,0,0,0,29.09,9.94,0,0,0,64.72,0,41.53,11.88,14.38,0,0,29.52,42.51